# Next run begins here.
Lifetime (time steps): 152 	 Distance traveled: 712 	 Average speed: 4.68 	 Overall route: [20, 19, 21, 4, 3, 6, 7]
Lifetime (time steps): 47 	 Distance traveled: 235 	 Average speed: 5.00 	 Overall route: [25, 24, 5, 26]
Lifetime (time steps): 62 	 Distance traveled: 422 	 Average speed: 6.81 	 Overall route: [8, 9, 10, 11, 12]
Lifetime (time steps): 141 	 Distance traveled: 720 	 Average speed: 5.11 	 Overall route: [12, 11, 10, 9, 3, 6, 24, 25]
Lifetime (time steps): 116 	 Distance traveled: 648 	 Average speed: 5.59 	 Overall route: [27, 17, 18, 1, 3, 9, 8]
Lifetime (time steps): 134 	 Distance traveled: 749 	 Average speed: 5.59 	 Overall route: [8, 9, 10, 15, 1, 16, 2]
Lifetime (time steps): 66 	 Distance traveled: 305 	 Average speed: 4.62 	 Overall route: [7, 6, 24, 5, 26]
Lifetime (time steps): 124 	 Distance traveled: 533 	 Average speed: 4.30 	 Overall route: [8, 9, 3, 4, 23]
Lifetime (time steps): 142 	 Distance traveled: 712 	 Average speed: 5.01 	 Overall route: [20, 19, 21, 4, 3, 6, 7]
Lifetime (time steps): 125 	 Distance traveled: 432 	 Average speed: 3.46 	 Overall route: [23, 4, 5, 24, 25]
Lifetime (time steps): 68 	 Distance traveled: 221 	 Average speed: 3.25 	 Overall route: [2, 16, 17, 27]
Lifetime (time steps): 139 	 Distance traveled: 572 	 Average speed: 4.12 	 Overall route: [22, 21, 1, 18, 0]
Lifetime (time steps): 123 	 Distance traveled: 610 	 Average speed: 4.96 	 Overall route: [27, 17, 18, 1, 3, 6, 7]
Lifetime (time steps): 101 	 Distance traveled: 703 	 Average speed: 6.96 	 Overall route: [27, 17, 18, 1, 21, 22]
Lifetime (time steps): 124 	 Distance traveled: 649 	 Average speed: 5.23 	 Overall route: [25, 24, 5, 4, 21, 19, 20]
Lifetime (time steps): 115 	 Distance traveled: 750 	 Average speed: 6.52 	 Overall route: [20, 19, 21, 4, 3, 9, 8]
Lifetime (time steps): 125 	 Distance traveled: 761 	 Average speed: 6.09 	 Overall route: [2, 16, 1, 3, 9, 10, 11, 12]
Lifetime (time steps): 37 	 Distance traveled: 182 	 Average speed: 4.92 	 Overall route: [0, 18, 0]
Lifetime (time steps): 62 	 Distance traveled: 278 	 Average speed: 4.48 	 Overall route: [0, 18, 19, 20]
Lifetime (time steps): 38 	 Distance traveled: 182 	 Average speed: 4.79 	 Overall route: [23, 4, 23]
Lifetime (time steps): 188 	 Distance traveled: 906 	 Average speed: 4.82 	 Overall route: [26, 5, 4, 21, 1, 16, 17, 27]
Lifetime (time steps): 60 	 Distance traveled: 348 	 Average speed: 5.80 	 Overall route: [2, 16, 17, 18, 0]
Lifetime (time steps): 148 	 Distance traveled: 749 	 Average speed: 5.06 	 Overall route: [8, 9, 10, 15, 1, 16, 2]
Lifetime (time steps): 46 	 Distance traveled: 240 	 Average speed: 5.22 	 Overall route: [7, 6, 24, 25]
Lifetime (time steps): 41 	 Distance traveled: 198 	 Average speed: 4.83 	 Overall route: [12, 11, 13]
Lifetime (time steps): 182 	 Distance traveled: 806 	 Average speed: 4.43 	 Overall route: [12, 11, 10, 9, 3, 4, 5, 26]
Lifetime (time steps): 64 	 Distance traveled: 221 	 Average speed: 3.45 	 Overall route: [2, 16, 17, 27]
Lifetime (time steps): 42 	 Distance traveled: 198 	 Average speed: 4.71 	 Overall route: [13, 11, 12]
Lifetime (time steps): 170 	 Distance traveled: 639 	 Average speed: 3.76 	 Overall route: [13, 11, 10, 9, 3, 4, 23]
Lifetime (time steps): 108 	 Distance traveled: 313 	 Average speed: 2.90 	 Overall route: [22, 21, 19, 20]
Lifetime (time steps): 56 	 Distance traveled: 235 	 Average speed: 4.20 	 Overall route: [25, 24, 5, 26]
Lifetime (time steps): 108 	 Distance traveled: 527 	 Average speed: 4.88 	 Overall route: [14, 15, 1, 16, 2]
Lifetime (time steps): 310 	 Distance traveled: 1126 	 Average speed: 3.63 	 Overall route: [7, 6, 3, 4, 21, 1, 16, 17, 27]
Lifetime (time steps): 138 	 Distance traveled: 316 	 Average speed: 2.29 	 Overall route: [22, 21, 4, 23]
Lifetime (time steps): 32 	 Distance traveled: 170 	 Average speed: 5.31 	 Overall route: [25, 24, 25]
Lifetime (time steps): 142 	 Distance traveled: 594 	 Average speed: 4.18 	 Overall route: [27, 17, 18, 1, 15, 14]
Lifetime (time steps): 73 	 Distance traveled: 348 	 Average speed: 4.77 	 Overall route: [8, 9, 10, 11, 13]
Lifetime (time steps): 61 	 Distance traveled: 221 	 Average speed: 3.62 	 Overall route: [27, 17, 16, 2]
Lifetime (time steps): 133 	 Distance traveled: 479 	 Average speed: 3.60 	 Overall route: [0, 18, 1, 3, 6, 7]
Lifetime (time steps): 128 	 Distance traveled: 316 	 Average speed: 2.47 	 Overall route: [23, 4, 21, 22]
Lifetime (time steps): 149 	 Distance traveled: 581 	 Average speed: 3.90 	 Overall route: [2, 16, 1, 3, 9, 8]
Lifetime (time steps): 131 	 Distance traveled: 460 	 Average speed: 3.51 	 Overall route: [7, 6, 3, 9, 10, 11, 13]
Lifetime (time steps): 127 	 Distance traveled: 463 	 Average speed: 3.65 	 Overall route: [0, 18, 1, 15, 14]
